domain,problem,repeat,time,plan_length,plan_found
blocksworld,1_25,0,,,False
blocksworld,1_25,1,,,False
blocksworld,1_25,2,,,False
blocksworld,1_25,3,,,False
blocksworld,1_25,4,,,False
blocksworld,1_25,5,,,False
blocksworld,1_25,6,,,False
blocksworld,1_25,7,,,False
blocksworld,1_25,8,,,False
blocksworld,1_25,9,,,False
blocksworld,1_26,0,,,False
blocksworld,1_26,1,,,False
blocksworld,1_26,2,,,False
blocksworld,1_26,3,,,False
blocksworld,1_26,4,,,False
blocksworld,1_26,5,,,False
blocksworld,1_26,6,,,False
blocksworld,1_26,7,,,False
blocksworld,1_26,8,,,False
blocksworld,1_26,9,,,False
blocksworld,1_27,0,,,False
blocksworld,1_27,1,,,False
blocksworld,1_27,2,,,False
blocksworld,1_27,3,,,False
blocksworld,1_27,4,,,False
blocksworld,1_27,5,,,False
blocksworld,1_27,6,,,False
blocksworld,1_27,7,,,False
blocksworld,1_27,8,,,False
blocksworld,1_27,9,,,False
blocksworld,1_28,0,,,False
blocksworld,1_28,1,,,False
blocksworld,1_28,2,,,False
blocksworld,1_28,3,,,False
blocksworld,1_28,4,,,False
blocksworld,1_28,5,,,False
blocksworld,1_28,6,,,False
blocksworld,1_28,7,,,False
blocksworld,1_28,8,,,False
blocksworld,1_28,9,,,False
blocksworld,1_29,0,,,False
blocksworld,1_29,1,,,False
blocksworld,1_29,2,,,False
blocksworld,1_29,3,,,False
blocksworld,1_29,4,,,False
blocksworld,1_29,5,,,False
blocksworld,1_29,6,,,False
blocksworld,1_29,7,,,False
blocksworld,1_29,8,,,False
blocksworld,1_29,9,,,False
blocksworld,1_30,0,,,False
blocksworld,1_30,1,,,False
blocksworld,1_30,2,,,False
blocksworld,1_30,3,,,False
blocksworld,1_30,4,,,False
blocksworld,1_30,5,,,False
blocksworld,1_30,6,,,False
blocksworld,1_30,7,,,False
blocksworld,1_30,8,,,False
blocksworld,1_30,9,,,False
blocksworld,2_01,0,,,False
blocksworld,2_01,1,,,False
blocksworld,2_01,2,,,False
blocksworld,2_01,3,,,False
blocksworld,2_01,4,,,False
blocksworld,2_01,5,,,False
blocksworld,2_01,6,,,False
blocksworld,2_01,7,,,False
blocksworld,2_01,8,,,False
blocksworld,2_01,9,,,False
blocksworld,2_02,0,,,False
blocksworld,2_02,1,,,False
blocksworld,2_02,2,,,False
blocksworld,2_02,3,,,False
blocksworld,2_02,4,,,False
blocksworld,2_02,5,,,False
blocksworld,2_02,6,,,False
blocksworld,2_02,7,,,False
blocksworld,2_02,8,,,False
blocksworld,2_02,9,,,False
blocksworld,2_03,0,,,False
blocksworld,2_03,1,,,False
blocksworld,2_03,2,,,False
blocksworld,2_03,3,,,False
blocksworld,2_03,4,,,False
blocksworld,2_03,5,,,False
blocksworld,2_03,6,,,False
blocksworld,2_03,7,,,False
blocksworld,2_03,8,,,False
blocksworld,2_03,9,,,False
blocksworld,2_04,0,,,False
blocksworld,2_04,1,,,False
blocksworld,2_04,2,,,False
blocksworld,2_04,3,,,False
blocksworld,2_04,4,,,False
blocksworld,2_04,5,,,False
blocksworld,2_04,6,,,False
blocksworld,2_04,7,,,False
blocksworld,2_04,8,,,False
blocksworld,2_04,9,,,False
blocksworld,2_05,0,,,False
blocksworld,2_05,1,,,False
blocksworld,2_05,2,,,False
blocksworld,2_05,3,,,False
blocksworld,2_05,4,,,False
blocksworld,2_05,5,,,False
blocksworld,2_05,6,,,False
blocksworld,2_05,7,,,False
blocksworld,2_05,8,,,False
blocksworld,2_05,9,,,False
blocksworld,2_06,0,,,False
blocksworld,2_06,1,,,False
blocksworld,2_06,2,,,False
blocksworld,2_06,3,,,False
blocksworld,2_06,4,,,False
blocksworld,2_06,5,,,False
blocksworld,2_06,6,,,False
blocksworld,2_06,7,,,False
blocksworld,2_06,8,,,False
blocksworld,2_06,9,,,False
blocksworld,2_07,0,,,False
blocksworld,2_07,1,,,False
blocksworld,2_07,2,,,False
blocksworld,2_07,3,,,False
blocksworld,2_07,4,,,False
blocksworld,2_07,5,,,False
blocksworld,2_07,6,,,False
blocksworld,2_07,7,,,False
blocksworld,2_07,8,,,False
blocksworld,2_07,9,,,False
blocksworld,2_08,0,,,False
blocksworld,2_08,1,,,False
blocksworld,2_08,2,,,False
blocksworld,2_08,3,,,False
blocksworld,2_08,4,,,False
blocksworld,2_08,5,,,False
blocksworld,2_08,6,,,False
blocksworld,2_08,7,,,False
blocksworld,2_08,8,,,False
